    magnitudes :   20135.2500 ,   24429.0000 ,   26203.3125 ,   29575.8125 ,   29575.8125 ,   26203.3125 ,   22078.1250 ,   21318.6250 ,   25269.5625 ,   28430.5000 ,   29575.8125 ,   27328.4375 ,   25269.5625 ,   21952.8125 ,   27170.0000 ,   30871.6875 ,   28430.5000 ,   27328.4375 ,   22647.1250 ,   30871.6875 ,   29575.8125 ,   27328.4375 ,   30871.6875 ,   32222.5625 ,   30871.6875 ,   23361.6875 ,   26203.3125 ,   21952.8125 , 
    magnitudes :   20108.3125 ,   24396.2500 ,   27291.8125 ,   29536.1875 ,   28392.3750 ,   25235.6875 ,   22048.5625 ,   21290.0625 ,   26168.1875 ,   28392.3750 ,   30830.3125 ,   27291.8125 ,   24396.2500 ,   22616.7500 ,   26168.1875 ,   32311.0000 ,   28392.3750 ,   27291.8125 ,   21923.3750 ,   32179.3750 ,   29536.1875 ,   27291.8125 ,   32179.3750 ,   30830.3125 ,   29536.1875 ,   26028.6250 ,   29536.1875 ,   22754.2500 , 
    magnitudes :   20693.3750 ,   24419.2500 ,   27317.5000 ,   28419.1250 ,   32209.6875 ,   26192.8750 ,   22069.3125 ,   21310.1250 ,   25259.4375 ,   27317.5000 ,   33906.1250 ,   27317.5000 ,   25259.4375 ,   22638.0625 ,   26192.8750 ,   35545.0000 ,   29564.0000 ,   27317.5000 ,   22638.0625 ,   35545.0000 ,   30859.3125 ,   27317.5000 ,   35370.3125 ,   30859.3125 ,   29564.0000 ,   29363.5625 ,   32209.6875 ,   21944.0000 , 
    magnitudes :   20673.8750 ,   24396.2500 ,   26310.0625 ,   28392.3750 ,   37411.9375 ,   26168.1875 ,   22048.5625 ,   21290.0625 ,   25235.6875 ,   27133.6250 ,   39411.5625 ,   28392.3750 ,   25235.6875 ,   21923.3750 ,   25235.6875 ,   39411.5625 ,   29536.1875 ,   27291.8125 ,   21923.3750 ,   37411.9375 ,   30830.3125 ,   27291.8125 ,   35337.0625 ,   30830.3125 ,   29536.1875 ,   33722.6250 ,   35511.5625 ,   22754.2500 , 
    magnitudes :   20701.6250 ,   24429.0000 ,   27328.4375 ,   28430.5000 ,   35559.1875 ,   27170.0000 ,   21952.8125 ,   21952.8125 ,   26203.3125 ,   27328.4375 ,   33919.6250 ,   29575.8125 ,   24429.0000 ,   22647.1250 ,   26203.3125 ,   32354.3750 ,   32354.3750 ,   27328.4375 ,   21952.8125 ,   30871.6875 ,   33919.6250 ,   27328.4375 ,   28252.1875 ,   32354.3750 ,   28430.5000 ,   33767.8750 ,   33919.6250 ,   24315.6250 , 
    magnitudes :   21290.0625 ,   24396.2500 ,   27291.8125 ,   27291.8125 ,   32311.0000 ,   29536.1875 ,   22048.5625 ,   21923.3750 ,   25235.6875 ,   27133.6250 ,   30830.3125 ,   32311.0000 ,   25235.6875 ,   22616.7500 ,   26168.1875 ,   30830.3125 ,   33874.1875 ,   27291.8125 ,   22754.2500 ,   29536.1875 ,   35511.5625 ,   27291.8125 ,   26028.6250 ,   35511.5625 ,   29536.1875 ,   32179.3750 ,   29536.1875 ,   28214.3750 , 
    magnitudes :   20701.6250 ,   24429.0000 ,   26345.3125 ,   27328.4375 ,   28430.5000 ,   35559.1875 ,   22784.8125 ,   21318.6250 ,   25269.5625 ,   26203.3125 ,   28430.5000 ,   39464.4375 ,   26203.3125 ,   21952.8125 ,   24429.0000 ,   27328.4375 ,   39707.2500 ,   28430.5000 ,   21952.8125 ,   26203.3125 ,   39464.4375 ,   28430.5000 ,   24315.6250 ,   37462.1250 ,   29575.8125 ,   31963.7500 ,   29575.8125 ,   33767.8750 , 
    magnitudes :   20108.3125 ,   24396.2500 ,   27291.8125 ,   27291.8125 ,   28392.3750 ,   37411.9375 ,   22754.2500 ,   21290.0625 ,   25235.6875 ,   26168.1875 ,   28392.3750 ,   37411.9375 ,   26168.1875 ,   21923.3750 ,   25235.6875 ,   27291.8125 ,   37411.9375 ,   28392.3750 ,   21923.3750 ,   27133.6250 ,   37411.9375 ,   29536.1875 ,   24283.0625 ,   33874.1875 ,   30830.3125 ,   28214.3750 ,   29536.1875 ,   33874.1875 , 
    magnitudes :   20693.3750 ,   25259.4375 ,   27317.5000 ,   27317.5000 ,   27317.5000 ,   32341.4375 ,   24419.2500 ,   21944.0000 ,   25259.4375 ,   26192.8750 ,   27317.5000 ,   32341.4375 ,   28419.1250 ,   21944.0000 ,   25259.4375 ,   27317.5000 ,   32341.4375 ,   30975.1250 ,   21944.0000 ,   26192.8750 ,   32341.4375 ,   30975.1250 ,   24305.9375 ,   30859.3125 ,   33906.1250 ,   25134.1250 ,   32341.4375 ,   32341.4375 , 
    magnitudes :   20100.2500 ,   24386.5000 ,   27280.8750 ,   27280.8750 ,   27280.8750 ,   30933.5625 ,   28203.0625 ,   21281.5625 ,   25225.5625 ,   26299.5000 ,   27280.8750 ,   29626.0000 ,   35497.3750 ,   22607.7500 ,   25225.5625 ,   27280.8750 ,   29524.3125 ,   37604.0625 ,   21914.6250 ,   26157.7500 ,   29524.3125 ,   37604.0625 ,   23472.0000 ,   28381.0000 ,   37604.0625 ,   22607.7500 ,   33860.6250 ,   30817.9375 , 
